episode,timestep,reward
2,8000,[-4218.6502 -4017.2544 -3689.1292  -872.4771 -1245.7159]
4,16000,[-4605.6852 -4326.2092 -4344.9988 -4247.1608 -4146.5314]
6,24000,[-3898.8756 -4409.4871 -4518.9286  -934.0978 -4890.1552]
8,32000,[-3776.185  -4547.6734 -4639.1475 -1069.7132 -3861.1967]
11,40000,[-4211.2777 -4683.6888 -3919.0012  -227.0198 -4666.5659]
13,48000,[-4575.738  -4542.5353  -602.8396 -3859.3937 -4577.5772]
15,56000,[-1319.9732 -4324.1577  -825.6328 -4070.3479 -4433.5076]
17,64000,[-4387.4348 -1067.2192 -4843.154  -4780.9846 -1095.6875]
19,72000,[-1048.3856 -4707.4753 -4557.6514  2112.7064 -4252.9225]
21,80000,[-1369.3226 -1191.2237 -3492.3965 -5000.     -3190.4973]
23,88000,[-4368.8567 -4623.783  -1128.6981 -1563.8615 -4455.3828]
25,96000,[-3710.9204 -3156.6677 -4205.7299 -4618.6331 -4679.4841]
27,104000,[-1584.5607 -4470.5586 -5000.     -4527.2771 -4043.4767]
30,112000,[-2977.034  -4181.0677 -4307.0329 -3969.7484 -2161.4019]
32,120000,[-4491.9145 -3978.0587 -4138.5619 -4634.076  -3817.1099]
34,128000,[-4486.5885 -4056.5273 -4404.8292 -1463.8717 -4311.8219]
