episode,timestep,reward     修改车辆初始运行的节点
2,8000,[ -533.2848 -2697.8838 -1388.6255 -4808.9477 -4117.3496] <- saved best model
5,16000,[ 2413.5818 -3289.5172  -388.6006 -3369.9874 -3929.3684] <- saved best model
8,24000,[  772.2239  -978.6043  -495.9464 -3262.2039 -4332.6055] <- saved best model
12,32000,[ 1813.4565 -1318.5783 -3506.3121 -4201.4493 -4052.375 ]
14,40000,[-2368.992  -1914.1752 -2887.6745 -3731.2301 -4201.6045]
16,48000,[-2743.7192    59.6607   192.638  -4701.7249 -3778.0127]
18,56000,[ 3556.7598  4085.7556  -618.32   -2922.959  -3704.5145] <- saved best model
20,64000,[ 5728.9803  -427.5174 -1706.0481 -2717.9275 -3646.653 ]
22,72000,[ 2110.9419  1614.4267   -71.9817 -2635.1601 -4392.41  ]
26,80000,[  667.1492  1332.3438   252.6593 -2387.9248 -4201.3136]
28,88000,[ 6309.2659   657.7072  -254.5526 -2841.6808 -3613.6904]
30,96000,[ 4744.2561   533.2238 -2920.5543 -2207.6891 -3919.7234]
34,104000,[  320.6873   849.3992 -1052.2779 -3183.3438 -3562.2771]
39,112000,[-9.7626850e+02  3.1280000e-01 -1.7147187e+03 -2.9130046e+03
 -3.8040918e+03]
43,120000,[  529.7431  1136.4049 -1742.1612 -2374.946  -3801.548 ]
46,128000,[ 2867.6282  -472.4431 -1619.2238 -3032.3133 -3717.9124]
50,136000,[-1623.5554   433.6212 -2214.8921 -2709.1792 -3837.7799]
53,144000,[ 2350.025    305.6557 -1071.1818 -2908.2047 -3698.3845]
56,152000,[  285.5908   616.4731  1365.2105 -2422.7519 -3767.3951]
58,160000,[  959.0716  -200.4132 -1750.9993 -2606.6965 -3797.3944]
61,168000,[ 3708.2618   870.0726  -748.7472 -2610.4398 -3660.9911]
64,176000,[ 4179.5375  1224.7956  -595.054  -3157.688  -3841.0409]
67,184000,[ 3373.5017   694.8733  -956.9266 -2181.2907 -3638.6975]
70,192000,[ 1748.9763  -543.8813  -621.6283 -2366.9055 -3660.1974]
72,200000,[ 4475.2968   533.1795 -3900.324  -2549.8003 -3673.7625]
76,208000,[ 2701.1485  1138.2542  -968.8801 -2888.519  -3575.862 ]
78,216000,[  751.1126  2076.6703  -648.8777 -2993.851  -3725.9361]
81,224000,[  799.221    687.3519 -2089.83   -2655.971  -3549.0837]
84,232000,[ 1243.4613 -2695.0635 -2394.3543 -2878.3283 -3816.7233]
87,240000,[ -668.0479  1762.0488  -756.1041 -1998.79   -3599.0999]
89,248000,[  360.8432  4515.5752    -6.2638 -2941.9501 -3758.7997]
92,256000,[ 5249.4429  4210.6104   -79.0331 -2173.9462 -4058.1116] <- saved best model
94,264000,[ 5174.0597  1342.5428 -3004.4286 -2894.2687 -3829.2728]
96,272000,[ -288.4661  -513.4087 -2916.1393  1241.433  -3625.8452]
99,280000,[   37.4552  2264.0703  -989.2943 -2197.4444 -3788.4853]
102,288000,[ 1250.7575  1634.8145 -1942.1636 -1970.2373 -3663.2698]
105,296000,[-1261.9657  1406.2337 -2313.9498 -2145.9408 -3633.9551]
108,304000,[ 3334.8632   599.3165 -1519.4136 -2735.2867 -3749.991 ]
111,312000,[  966.0672  1155.9521 -1250.7381 -2252.3542 -4109.8367]
115,320000,[  346.6236  -322.4876 -3255.8248 -3180.9731 -3628.3975]
118,328000,[ 2961.7834   726.5856 -1311.2728 -2298.8883 -3502.8023]
