episode,timestep,reward  # 将模型设置为eval，修改policy网络（网络变大，激活函数改为relu）
3,8000,[ 1.4752000e+00 -3.7372980e+02 -1.5981421e+03 -2.8805132e+03
 -4.2735756e+03] <- saved best model
7,16000,[ -189.1689 -1023.5559 -1546.8301 -3019.0859 -3957.693 ]
12,24000,[  225.8199 -1207.473  -1629.9901 -2816.9065 -3798.3095]
17,32000,[  350.4327  -813.6604 -2006.502  -2967.3474 -3935.5432]
23,40000,[  644.6098  -885.1605 -2165.4177 -3115.3078 -3720.5863]
29,48000,[  976.8025 -1194.5035 -3030.9756 -3117.6478 -3835.794 ]
35,56000,[ -454.7048 -1137.3273 -1712.8607 -3456.087  -3659.5232]
41,64000,[-1119.1655 -1044.2637 -1926.7479 -3170.3227 -3836.4971]
47,72000,[ -564.5875  -824.4767 -1525.7189 -3200.0844 -3785.3612]
53,80000,[  795.7693  -863.7323 -1921.8996 -3148.6961 -3762.0335] <- saved best model
59,88000,[  527.2002  -947.7088 -1445.586  -3043.4442 -3729.9432] <- saved best model
65,96000,[ 1664.3435  -825.1618 -1697.6011 -3182.6414 -3786.1003] <- saved best model
71,104000,[ 1495.8984  -832.1561 -1969.3535 -3235.2701 -3615.0592]
76,112000,[  828.1134  -410.3052 -2357.3811 -3372.3195 -3493.7532]
79,120000,[  301.144   -337.891  -2291.2357 -3171.5415 -3633.6056]
83,128000,[  182.2974  -298.0195 -2228.8608 -2736.7645 -3486.2204]
88,136000,[-2168.2992  -509.8432 -1125.6731 -2973.4636 -3582.91  ]
91,144000,[  601.1447 -2501.527   -852.9978 -3263.9103 -4403.1124]
94,152000,[ -137.4425 -1017.5449 -2018.5588 -3460.9536 -4120.9135]
99,160000,[ -514.4532 -2131.3469 -2672.2489 -3161.0644 -3762.364 ]
104,168000,[-1602.0509 -1495.628  -2925.9421 -3039.3079 -3669.3246]
107,176000,[ -176.4554 -1012.2846 -2579.9424 -3098.9896 -3850.6903]
110,184000,[  330.1106   954.6311 -2063.4069 -4002.206  -3897.7178]
114,192000,[-2794.2725 -4386.0828 -3938.9932 -3384.0255 -4291.7318]
117,200000,[-2208.7106 -3348.6591 -4102.5113 -3635.5296 -4439.9743]
122,208000,[-4273.2436 -3407.2856 -4055.2247 -2710.034  -4555.6705]
125,216000,[-4682.7964 -3246.091  -3647.2365 -3038.8052 -4689.0273]
131,224000,[-4367.9428 -3973.383  -4325.4935 -4308.5786 -4525.7911]
134,232000,[-3905.1228 -4019.1224 -3420.8168 -4511.7994 -2707.1692]
137,240000,[-3568.6819 -3922.1808 -3620.1387 -4474.8735 -4434.0863]
141,248000,[-4031.1492 -4398.1669 -4032.9395 -3927.4949 -4418.2843]
143,256000,[ 1651.6901 -3303.0233 -3747.3995 -4101.3452 -4254.3992]
147,264000,[-3872.0078 -3888.0522 -3696.223  -4074.1677 -4189.8722]
153,272000,[-4275.0707 -4601.1444 -4352.5585 -4205.1632 -3643.1978]
156,280000,[-2832.8816 -3901.0978 -4203.9611 -4173.1842 -4214.1083]
160,288000,[-4276.736  -3551.9801 -3809.2377 -3931.8898 -4600.8613]
166,296000,[-4275.8991 -4415.9389 -4304.6176 -4185.6445 -4525.6574]
171,304000,[-4465.2416 -3713.6281 -4622.696  -4505.2838 -4678.1672]
174,312000,[-3731.3307 -3831.3268 -4094.1877 -4325.4612 -4564.2016]
179,320000,[-4380.8049 -4164.6441 -4388.4525 -4596.1439 -4624.7429]
186,328000,[-4537.7188 -4590.2039 -4415.2321 -4549.7941 -4637.55  ]
193,336000,[-4364.8813 -4503.1007 -4482.2126 -4576.9203 -4658.4555]
201,344000,[-4551.4616 -4633.0891 -4608.9288 -4679.7377 -4718.9665]
