episode,timestep,reward   不加 adaptive 控制器
3,8000,[ -697.0693 -3081.9157 -1829.0034 -3002.5469  -193.2662]
5,16000,[ 2321.4331 -2432.8917  4010.4805 -2588.3417 -1563.5604]
7,24000,[ 3041.8315  1812.2112  1140.6839 -2161.4961 -2260.3369]
9,32000,[ 4105.0985  1725.8562   442.0172  1119.9821 -1979.139 ]
12,40000,[ -384.031   -283.5834 -2881.4256 -3370.8286  1178.5769]
14,48000,[-2454.8245 -3091.6717 -1590.3334 -1680.3017  1477.7994]
16,56000,[-3255.1723  1452.6185   881.4213 -4654.8932  -160.2105]
18,64000,[  292.3417 -2661.4157 -1538.6357   926.8828  4260.6703]
20,72000,[  716.6628  1707.3905  1695.8618   120.8792 -3175.9398]
23,80000,[  828.0027 -1140.5095 -2428.2797 -1547.9936 -2328.1087]
25,88000,[  243.4118   -32.0645 -2909.8682  -211.2603 -2151.9655]
27,96000,[-1340.2978 -1786.5199   260.644   3209.5321 -4430.976 ]
30,104000,[-3341.5267 -1064.8237 -2910.6567 -1321.7981  2020.8868]
32,112000,[ 1669.3321   305.8935 -1218.1993 -5000.     -3007.8688]
34,120000,[-2816.6703  -887.3373  2867.2492 -1995.9161 -5000.    ]
37,128000,[  817.7558  1776.49   -3164.2628 -1054.09    -690.6044]
40,136000,[  907.6408  1174.3553 -2888.0177   923.0538 -3125.1002]
42,144000,[-1781.4395 -4871.8912  2350.373  -2937.0915 -1632.9014]
45,152000,[-1723.9042 -1839.7536  -554.4733  -326.8754 -2308.6515]
47,160000,[ 4186.1871  5120.307     60.6678 -1979.0935 -1612.4139]
49,168000,[-2213.5712 -1913.2615  4328.9633 -2164.1553 -2597.1828]
51,176000,[ -513.7158  2235.5293  1305.3744    62.2234 -3146.5923]
53,184000,[-3993.8415   550.1385 -4531.0765   896.0192 -4757.9256]
55,192000,[-2652.6022  -519.4493 -2222.9998 -2340.7976  -610.0779]
58,200000,[-3592.1731  1058.6377   422.0973 -3258.5019  1807.3244]
60,208000,[-4416.7134   691.7132 -2725.8329  -371.6336 -1550.1066]
63,216000,[-1787.4156  -640.5647 -2712.1747 -2753.2575   465.9774]
65,224000,[ 1553.9048 -1802.8585 -4696.3182 -2466.5135  1663.7692]
68,232000,[ -562.8083 -1047.0324  -906.6173 -2704.0436   113.6294]
70,240000,[3234.1486 1128.6571 4473.3107 1166.3572 1833.2785]
72,248000,[-4773.6766   957.5715 -2009.0226 -1427.7168 -2643.3032]
74,256000,[-675.3182  130.3913   55.1415  744.8304 -504.3655]
76,264000,[-1589.5563 -2797.1925 -1663.8864  5528.8887 -1037.418 ]
