episode,timestep,reward
10,8000,[-4938.857  -4892.3175 -4900.3616 -4932.7796 -4860.2793]
18,16000,[-4932.0461 -4937.8186 -4895.126  -4973.461  -4900.7129]
24,24000,[-4835.5451 -4845.8812 -4947.0693 -4948.0521 -4903.4835]
34,32000,[-4875.6505 -4946.1028 -4930.5973 -4875.8531 -4960.6715]
42,40000,[-4880.6212 -4863.9899 -4933.8533 -4888.9313 -4906.9361]
50,48000,[-4858.4616 -4915.8797 -4816.3796 -4888.138  -4890.9057]
58,56000,[-4890.3541 -4851.6429 -4796.4409 -4847.0929 -4831.2119]
68,64000,[-4904.0894 -4841.9552 -4825.0798 -4863.7909 -4901.2596]
76,72000,[-4937.7597 -4863.8949 -4869.9582 -4893.4346 -4735.5406]
83,80000,[-4870.5418 -4918.2672 -4890.3797 -4923.8545 -4790.7815]
89,88000,[-4870.0404 -4828.8139 -4571.7199 -4782.2094 -4867.1519]
95,96000,[-4967.8956 -4895.0564 -4876.7025 -4918.825  -4825.1888]
102,104000,[-4940.1721 -4795.5789 -4911.9549 -4925.9743 -4766.8967]
109,112000,[-4851.8113 -4895.013  -4740.2518 -4819.8854 -4883.9275]
114,120000,[-4818.7001 -4899.1539 -4690.1232 -4901.9927 -4787.5485]
119,128000,[-4969.0041 -4800.4256 -4852.127  -4791.4637 -4798.5485]
124,136000,[-4707.8852 -4854.2881 -4902.4969 -4729.1152 -4783.8974]
129,144000,[-4912.5196 -4878.1702 -4857.7082 -4807.5183 -4594.0881]
134,152000,[-4785.5076 -4671.6391 -4861.3709 -4860.714  -4697.5707]
139,160000,[-4498.9183 -4683.4402 -4926.4664 -4728.1341 -4777.3515]
143,168000,[-4855.0602 -4780.5239 -4817.1866 -4763.7511 -4624.4531]
148,176000,[-4755.8714 -4910.71   -4799.0037 -4845.5703 -4830.2899]
153,184000,[-4744.1691 -4739.9145 -4840.9715 -4883.9867 -4875.9222]
158,192000,[-4793.6075 -4667.9041 -4578.4559 -4576.0007 -4873.8012]
163,200000,[-4728.2479 -4717.8793 -4837.2787 -4780.4814 -4751.128 ]
168,208000,[-4786.4627 -4673.4185 -4887.1537 -4910.5344 -4958.313 ]
173,216000,[-4774.7918 -4854.7095 -4847.1535 -4788.7299 -4807.7731]
177,224000,[-4746.6328 -4761.6956 -4839.8346 -4708.9028 -4718.1903]
182,232000,[-4975.2136 -4834.0227 -4881.554  -4863.2083 -4799.2595]
187,240000,[-4873.8775 -4838.88   -4902.4663 -4835.9701 -4883.7804]
191,248000,[-4920.3847 -4896.5424 -4902.454  -4830.5748 -4819.1158]
